iter,time,reward,steps,shape
10,0.005653304999999997,87.99,14.01,2
10,0.005033854000000004,80.5,21.5,3
10,0.00536527600000003,48.95,53.05,4
10,0.007288442999999978,11.63,90.37,5
10,0.025982402000000127,-96.45,198.45,7
10,0.03443800400000008,-3999.0,4000.0,10
10,0.026431624999999848,-3737.78,3756.96,15
10,0.08244715600000063,-3968.82,3970.83,20
10,0.09880821399999817,-2971.86,3027.4,25
10,0.10695188400000077,-3899.89,3907.96,30
10,0.11633137700000162,-3907.33,3918.43,35
10,0.11609835699999849,-3905.36,3912.42,40
10,0.12619423200000313,-3931.61,3936.65,50
