iter,time,reward,steps,convergence
1,0.0010052499999915199,-308.08,300.0,89.6
2,0.0018804970000019239,-446.42,300.0,79.80890000000001
3,0.0028294130000006135,-301.97,300.0,70.4089
4,0.0037739150000106747,-300.71,300.0,60.61880000000001
5,0.004629428000015423,-304.85,300.0,50.820075003377006
6,0.005498988000013583,-299.09,300.0,41.02157649779198
7,0.00646883800001774,-348.98,300.0,31.221466507791984
8,0.007539943000026028,-301.25,300.0,21.43145416698524
9,0.008673784000038154,-556.66,300.0,11.550263983902708
10,0.009630902000040464,-413.39,300.0,2.150263983902707
11,0.010501174000040692,-299.0,300.0,1.6666428257565389
12,0.011544510000035757,-299.54,300.0,1.6640097922084434
13,0.012599721000029263,-299.0,300.0,1.664998505198443
14,0.013726754000032315,-315.86,300.0,1.6664290572761438
15,0.014755660000034254,-346.88,300.0,1.6546169334706604
16,0.015725996000028886,-414.92,300.0,1.6618175290556831
17,0.016645898000035686,-375.91,300.0,1.6641230123640987
18,0.017510058000027584,-299.0,300.0,1.9881125721708408
19,0.01838622600003248,-299.0,300.0,2.0792027552533794
20,0.019217616000034354,-301.52,300.0,2.0891027552533785
21,0.0201611600000291,-313.65,300.0,2.164626949335328
22,0.021090724000018213,-302.78,300.0,2.568259982883423
23,0.02203681100002086,-305.39,300.0,2.083305446990123
24,0.022982756000018867,-305.83,300.0,1.986822439349138
25,0.023979309000011995,-299.09,300.0,2.03851334362186
26,0.024901931000002264,-299.0,300.0,2.199811253621859
27,0.026330083999994258,-299.54,300.0,2.5948852326965612
28,0.02726158599999451,-311.09,300.0,2.2774634044194393
29,0.028132208999991803,-417.99,300.0,2.2488103016540952
30,0.029314826999993215,-305.63,300.0,1.8269276134101524
31,0.030264968999986763,-315.83,300.0,1.750409378962403
32,0.03125523599997848,-382.78,300.0,1.6824993789624032
33,0.03213200599998345,-304.49,300.0,1.7713992130180507
34,0.03325129699997831,-328.42,300.0,2.246452668581335
35,0.03415768699998978,-344.68,300.0,2.2155025110210977
36,0.034998875999988854,-301.79,300.0,2.040477573624018
37,0.035836571999993794,-310.78,300.0,1.6614723689375157
38,0.03669739500000446,-299.9,300.0,1.6554225767916264
39,0.03766487699999743,-302.15,300.0,1.6887025641320115
40,0.03867618299999265,-316.14,300.0,2.0921122508622596
41,0.039537869000000114,-303.58,300.0,2.5793911822861286
42,0.04043312600001059,-299.45,300.0,2.264049566048945
43,0.04133221800000797,-317.63,300.0,2.6584913805946413
44,0.04224891900001637,-303.14,300.0,2.183328017315606
45,0.043163626000009,-316.1,300.0,2.201273420733666
46,0.044053823000012926,-302.15,300.0,2.216598617805436
47,0.044902145000008886,-299.27,300.0,2.2465851681726385
48,0.04574463400001605,-299.81,300.0,2.257600730261967
49,0.04664568600001928,-723.55,300.0,2.15828601434904
50,0.04757225200002324,-299.0,300.0,2.1837573338627356
51,0.04853439700001161,-299.99,300.0,2.2305936009508356
52,0.04941770200001372,-302.51,300.0,2.119525815022867
53,0.05024370700000702,-542.61,300.0,1.7393089523885705
54,0.05105970700000739,-343.27,300.0,1.8105724594375041
55,0.05188983700000449,-300.35,300.0,1.781267686690477
56,0.052992533999997704,-325.58,300.0,1.7973344308900205
57,0.054043566999993686,-299.0,300.0,1.746876229730954
58,0.05527725499999292,-324.14,300.0,1.7664543005545077
59,0.05613827699998808,-306.27,300.0,1.8689548453709033
60,0.057040738999987184,-299.0,300.0,1.4370129159326153
61,0.0583632589999894,-310.52,300.0,0.9022230438636452
62,0.05927200099999652,-299.0,300.0,1.397050723266752
63,0.060397060999989094,-299.0,300.0,1.402307898060744
64,0.061918848999980014,-463.54,300.0,1.331884781980709
65,0.0627760739999843,-335.57,300.0,1.320295290174562
66,0.06361751099997548,-311.92,300.0,1.3357208171013872
67,0.06445232199996553,-303.32,300.0,1.7374282001966364
68,0.06519278099996484,-304.88,300.0,2.0699963463413353
69,0.06625485799996511,-335.53,300.0,1.9669633996669866
70,0.06751272699996491,-346.43,300.0,2.032300205339678
71,0.06836786699996367,-337.63,300.0,2.030423739437064
72,0.06921534099996052,-300.8,300.0,1.627905577409528
73,0.07004084799996235,-304.13,300.0,1.51861290311279
74,0.0711906799999582,-301.52,300.0,1.588667405921109
75,0.0720680749999616,-320.46,300.0,1.5158920220062515
76,0.0731376629999545,-302.57,300.0,1.4773821090567698
77,0.07462269399995591,-523.44,300.0,0.995269855361754
78,0.07550736799994695,-527.79,300.0,0.6232528773859888
79,0.07642275199995652,-314.75,300.0,0.6227028432387413
80,0.07782694999995954,-299.0,300.0,0.5959289013121504
81,0.07871725599996182,-377.6,300.0,0.7040486044888226
82,0.07958794599996111,-375.61,300.0,0.7273344814598823
83,0.08050446899996189,-464.51,300.0,0.8579371992587568
84,0.0815057039999516,-398.74,300.0,0.7866064038851649
85,0.08234758299994382,-299.0,300.0,0.9041303369891294
86,0.08325922699994237,-299.0,300.0,0.9147124833217137
87,0.08429768599994247,-307.82,300.0,1.0375260973982738
88,0.08515635299993107,-303.95,300.0,0.9538469453323962
89,0.0860028989999364,-325.0,300.0,1.0576944701825752
90,0.08690865899993128,-299.09,300.0,1.4735283345470571
91,0.08776529799992261,-366.5,300.0,1.4904961965283188
92,0.08880461999991951,-299.0,300.0,1.7455447387413017
93,0.08967990399992232,-319.61,300.0,1.6142787426080383
94,0.0906772569999248,-313.49,300.0,1.993661756948703
95,0.09157463799992627,-337.14,300.0,1.960025090281262
96,0.09250580199991987,-403.22,300.0,1.9846451759070995
