iter,time,reward,steps,convergence
1,0.0010031769999976348,-414.02,200.0,89.599981
2,0.0018401979999964624,-314.36,197.42,80.69998100000001
3,0.002675660999997831,-377.3,200.0,71.69998100000001
4,0.004301877999996151,-213.44,197.94,62.25945405153718
5,0.0045911729999978945,-200.4,193.84,52.462152591975894
6,0.005010616999996387,-220.2,198.08,43.02700727242719
7,0.005844970999998367,-201.24,195.36,33.22303806502241
8,0.006512499999995924,-207.04,197.42,23.429818336451238
9,0.007302013999996859,-225.08,200.0,14.529818336451237
10,0.007686211999995862,-245.06,200.0,5.2610278464512374
11,0.008454645999997012,-327.66,199.34,5.572036846451238
12,0.008924933999999496,-264.88,198.2,5.228938746451237
13,0.00971435800000009,-198.6,193.86,4.428663039396751
14,0.010361491000001166,-199.96,199.06,4.069479097967332
15,0.01089735300000072,-201.14,199.02,4.498871096528622
16,0.01145541500000391,-210.76,200.0,4.5452961191773245
17,0.012261507000005167,-336.58,200.0,4.926773105415294
18,0.013030138000004854,-284.78,200.0,4.912202083568972
19,0.013423919000004503,-227.18,200.0,4.3000960864999715
20,0.014358975000003937,-224.68,199.0,4.303273019888451
21,0.014769484000005662,-361.9,196.3,3.8516725287403033
22,0.015231907000003986,-485.0,199.12,3.569758537459464
23,0.015967255000003178,-210.76,200.0,3.9417730981748393
24,0.016691705000003054,-215.68,200.0,4.1769346012709905
25,0.017467669000005515,-219.8,200.0,3.94674961415451
26,0.017749656000006553,-209.56,184.5,3.743529348053998
27,0.01846961600000796,-217.12,199.46,3.515549713190398
28,0.018915942000010233,-263.3,196.62,3.880753914264929
29,0.019531261000008016,-285.6,197.38,3.9155013284931455
30,0.019760754000007097,-384.12,193.06,3.7892958249351283
31,0.020020463000008704,-205.14,170.12,3.7208537951522858
32,0.020305641000010866,-496.06,187.34,3.831246191897481
33,0.02047344700001119,-377.36,200.0,3.590805162351553
34,0.020596224000009045,-203.9,197.18,3.427156126063103
35,0.02079542500000997,-280.38,198.38,3.310170692203806
36,0.02097200300000779,-153.56,166.62,3.5011117552043176
37,0.021248407000005187,-90.14,120.32,3.4275655705083494
38,0.021388058000002985,-196.58,192.92,3.1662682332051277
39,0.02151255400000096,-201.56,196.74,2.9024808678625083
40,0.021666292999999115,-228.7,176.86,2.5229717100034894
41,0.021939431999999925,-196.16,194.34,2.3362483743313467
42,0.02204530299999874,-209.78,200.0,2.009363505988464
43,0.022266253000001512,-250.22,183.38,2.2306302271549967
44,0.022447033000002392,-284.98,183.88,2.5682132170951917
45,0.022574085000002242,-112.0,139.04,2.813743756095453
46,0.022709682000002118,-124.1,142.9,2.4595761420767674
47,0.022851204000001957,-188.68,180.0,2.7929299891928636
48,0.022963415000003096,-100.58,119.08,2.741244072334168
49,0.02311159500000315,-4.42,44.12,2.684263437730322
50,0.023191156000002877,-27.96,50.48,3.064967994112151
51,0.02335287900000438,-53.04,74.34,3.4538329155513
52,0.023458848000004195,-185.64,170.28,3.6184720382750415
53,0.023716365000005624,-290.7,188.62,3.360321647004193
54,0.023974056000007238,-206.88,189.9,3.5310043649538962
55,0.024171524000006883,-59.22,69.26,3.2109122778479815
56,0.024599212000005366,-73.14,94.56,3.5640898297882364
57,0.024842988000003174,-307.48,161.72,3.3618548964597275
58,0.025147885000002645,2.42,29.56,3.573833972964439
59,0.025283178000002238,-34.66,61.94,3.672666327902578
60,0.025393906000005018,-25.86,50.86,3.2828568306980204
61,0.025513532000005057,-27.38,50.02,3.1013903403498384
62,0.025587954000005908,1.14,31.72,2.8587528374257998
63,0.0256800180000063,-27.12,43.9,2.951822155991333
64,0.025770115000003813,-17.12,47.74,2.7265153726944593
65,0.025876227000004803,-10.5,37.56,3.125347340031549
66,0.025944001000006267,3.32,30.08,2.8864626359783343
67,0.026126836000006648,-86.34,89.34,2.744420883685051
68,0.026303928000004362,-142.0,93.72,2.889099895319262
69,0.02671107300000486,9.12,28.2,3.024251602574748
70,0.026791892000005646,-4.38,37.46,3.0373625324989524
71,0.026955975000007015,-7.76,42.84,3.2348627661691167
72,0.02706372600000506,-5.82,46.16,3.3574588007951442
73,0.0271431940000042,-2.34,32.0,3.1989431474591483
74,0.027220870000004282,0.56,30.36,2.945810726397636
75,0.02728673700000428,14.84,26.82,2.6686869988276145
76,0.02734742700000581,-9.1,34.82,2.554171935529486
77,0.02742186500000443,-21.38,38.26,2.7532643411104427
78,0.02748567500000476,15.02,26.22,2.7611638995600214
79,0.027547782000006293,-6.98,33.6,2.7388320619818822
80,0.02762642700000484,1.84,32.86,2.7371160983761422
81,0.027698999000005387,-12.88,35.12,2.748682029122135
82,0.0279692860000047,-24.58,38.8,2.8180098874832225
83,0.028083402000003588,-6.32,35.88,2.9900019761774206
84,0.028172981000004427,-36.22,46.94,3.2183734044055425
85,0.028309456000002342,-70.66,65.42,3.3819826632932717
86,0.028510298000004042,-5.18,38.22,3.568784823369299
87,0.028615447000003513,-4.34,42.54,3.415675975038328
88,0.028715521000002298,-11.72,51.7,3.5582353773654645
89,0.02881921000000176,-62.92,68.82,3.356910229589718
90,0.02897198000000145,-0.24,43.08,3.5785617507918177
91,0.029093349000000046,14.48,27.82,3.4194592134963906
92,0.029176331999998695,5.1,25.8,3.3755734204565995
93,0.029268925000000223,3.68,29.88,3.2180729230450935
94,0.02934182899999982,0.9,28.22,3.0549773791214334
95,0.02943641000000241,14.24,29.1,2.958940379170812
96,0.02951451400000238,11.44,26.14,2.699450596587398
97,0.029605496000002063,9.76,25.6,2.9979789661027314
98,0.029701176000003215,14.64,25.44,2.6390397155861396
99,0.02976621300000204,3.94,29.8,2.7707506862537334
100,0.029875721000003352,13.86,27.64,2.6254140800499237
101,0.02996918500000234,8.64,27.92,2.5123384667865998
102,0.03005067800000205,12.32,28.28,2.7929273952080558
103,0.030119736999999702,19.26,24.92,2.9453309707131132
104,0.030206537999998062,0.04,30.72,3.1875182820080603
105,0.030316647999999446,-0.5,31.54,3.3933477605870808
106,0.030418156999999724,-13.76,35.06,3.8399591635519563
107,0.03052989700000097,4.58,29.12,3.8385949411692115
108,0.030623230000003332,-39.6,43.5,3.732398861921907
109,0.030695875000002815,-16.02,37.12,3.76543513451565
110,0.030764919000002777,-6.6,35.38,3.762169270242018
111,0.03089148000000108,-33.86,39.72,3.6972109855251474
112,0.030987582000001623,-14.0,39.98,3.6969693453964254
113,0.031078119000000015,4.7,30.96,3.9323912570075024
114,0.031166843000001165,7.12,30.72,3.6580868308439536
115,0.03128821600000009,-16.6,35.62,3.432826583335527
116,0.031409748000001514,14.28,27.3,3.422751695785731
117,0.03147454300000163,11.8,26.94,3.080505453565527
118,0.03155039100000323,-2.12,30.74,3.1445906919272573
119,0.03165842200000313,6.9,29.44,3.08744307896177
120,0.03177021700000182,3.78,30.46,3.0166495450824313
121,0.03184278699999865,-4.04,33.96,3.7578754347802947
122,0.03192014799999754,-2.94,28.02,3.3884937037024985
123,0.031986481000000566,0.46,29.18,3.1522343969061737
124,0.032051754000001154,8.62,28.78,3.178199487946231
125,0.03213398900000186,-27.74,37.68,3.149362545823741
126,0.032223888000000755,-25.64,40.92,3.1494207280407798
127,0.03231876199999917,7.36,29.62,3.144712681220138
128,0.03238369299999988,-14.54,34.32,3.070599466906108
129,0.03257055399999942,12.2,26.44,3.028876704821285
130,0.03265590199999835,-13.38,35.08,3.1200957652296943
131,0.03276332999999809,11.92,26.64,2.3735031420307724
132,0.03283206199999711,-24.88,41.02,2.415820807295163
133,0.03289240699999496,13.48,27.72,2.388442083616062
134,0.03296361599999642,-3.32,28.32,2.2888858126913942
135,0.033030247999995765,-0.84,31.3,2.2356584122335055
136,0.03308540899999457,-25.7,41.14,1.807567835183712
137,0.033161531999994054,-10.66,35.62,1.9181840156989787
138,0.03323891799999146,-7.26,34.04,2.0780251012446906
139,0.03332146699999328,10.08,26.42,2.4096484581030837
140,0.033397732999993934,8.54,29.74,2.356360709987892
141,0.03348761899999175,4.34,30.7,2.2683783451711186
142,0.033598531999992076,-15.58,37.76,2.3081390098439196
143,0.033677131999994,-58.14,43.86,2.703027770351531
144,0.033764908999991405,5.8,31.74,2.844901948872736
145,0.03383827499999015,1.22,30.58,2.848035687619533
146,0.0339104079999899,-33.06,38.08,3.2772590532752615
147,0.03398312799998848,13.4,25.88,3.527502954358866
148,0.03404333199998888,6.98,28.9,3.418529745442079
149,0.034107875999989545,2.2,27.14,3.2419624386723713
150,0.034180799999990796,-0.34,25.72,3.445085946018456
151,0.03443368699999283,13.6,29.58,3.6341529096648157
152,0.034492889999992116,14.76,26.92,3.6093855946165427
153,0.034663472999991285,14.08,26.18,3.4558340175854996
154,0.03472815799999296,5.7,25.56,3.3624216311638278
155,0.03481272999999163,17.14,25.88,3.2826941193525085
156,0.034872540999991486,4.02,29.26,2.899903757498268
157,0.03493023399999373,17.14,25.16,2.579840993524809
158,0.03501077399999275,11.5,25.82,2.4816389033844217
159,0.03507890499999178,10.9,25.44,2.4401419604339587
160,0.03514704099999477,14.82,25.44,2.252907341309893
161,0.0352069459999953,14.34,25.38,2.4821221684018893
162,0.03527225899999209,11.7,26.68,2.670845230920322
163,0.03534379599999227,7.86,26.16,2.3401395530984725
164,0.035409891999989895,5.78,32.4,2.307455768308692
165,0.03551788099998987,9.24,27.58,2.950773169415306
166,0.03559568299998972,10.36,29.18,2.9755149346884666
167,0.03566871399999272,10.16,30.88,2.9446723434347684
168,0.03575326899999354,8.72,27.42,3.3658786954584405
169,0.03581285099999221,-2.52,33.86,3.4114236731588106
170,0.035886756999993,0.22,30.54,3.5381804752403014
171,0.035987458999994004,7.98,28.86,3.2172060841900203
172,0.036055631999992954,8.94,26.86,3.3409648841023483
173,0.03614057099999357,0.42,27.68,3.2611583885353
174,0.036209933999991506,9.46,26.96,3.59338708902159
175,0.03628022899999195,14.84,25.76,2.9343722951324214
176,0.03635968999999051,8.86,27.38,3.0771015191070714
177,0.0364578009999903,-4.36,34.06,3.4148286609623755
178,0.0365589189999902,-5.7,29.72,3.684210114191147
179,0.03663884999999212,-14.7,32.98,3.954071507825951
180,0.03670327999999046,-7.4,33.06,3.8288156562819973
181,0.03681014099998947,-39.24,42.92,3.828432912465189
182,0.03690124599999223,-20.84,34.0,3.5281041778143325
183,0.03699775699999108,1.62,29.14,3.614396090919969
184,0.037085548999989726,-2.1,30.48,3.250441683382351
185,0.037197786999989546,12.9,25.98,3.2622397480243537
186,0.037431330999989854,-33.46,42.2,3.277369650948492
187,0.037590028999989755,8.54,28.66,3.0382339708364876
188,0.0378905949999897,2.56,27.0,2.425577494533376
189,0.03794975099998865,10.0,26.06,2.3280282054394954
190,0.0380603219999891,14.24,25.66,2.35763307989856
191,0.03811826699999088,14.76,25.14,2.8692649590653465
192,0.03820576099999329,22.0,25.56,2.7899002910562967
193,0.03827331399999423,12.76,25.54,3.2281482155249535
194,0.03834539799999348,16.62,26.12,3.4457754652784254
195,0.03845282399999306,9.8,28.78,3.5149672937116607
196,0.03852362299999257,17.84,25.8,3.267236210341615
197,0.03864091199999109,13.74,27.22,3.2658297196371984
198,0.03873301299999099,19.24,25.56,3.7004568375856706
199,0.038846816999992484,10.0,28.64,3.3336718550582156
200,0.03894548799999242,10.5,28.14,3.625404990415371
201,0.0390125569999924,15.56,24.52,3.456207395878136
202,0.03906285799999054,12.1,27.08,3.8357626937624696
203,0.03913478899999134,12.96,26.76,3.409715522722584
204,0.039199987999992914,9.62,24.76,3.1356545165570293
205,0.03928858799999446,1.88,29.08,3.173357842239211
206,0.03934699599999192,16.3,25.74,3.2512098926498028
207,0.039435128999990354,17.82,24.84,3.0660264711933776
208,0.039550672999990155,13.1,27.24,2.5721531895979446
209,0.03962362599999025,13.72,25.02,2.529588140618663
210,0.03969597299998995,7.36,28.86,2.8613553021364018
211,0.03977803899998733,12.86,26.42,2.5045513027119526
212,0.03988649399998678,11.16,25.0,2.192510951844284
213,0.039957024999985435,14.68,25.58,2.341787626686326
214,0.04005369099998646,10.78,26.18,2.5890810291742246
215,0.04011482799998589,8.64,25.38,2.532100572714161
216,0.040182967999985664,0.68,29.58,2.5282466394412366
217,0.040272024999985945,8.48,26.52,2.5695082662766717
218,0.040373933999987344,13.0,26.28,2.6748242545171146
219,0.04043009399998709,12.76,25.8,2.8007202913132234
220,0.04048961799998807,10.2,26.22,2.1516825557918398
221,0.04055897599998559,13.42,25.86,2.1372347614814005
222,0.040670067999986514,17.1,25.12,2.167876532264329
223,0.04075409799998653,10.56,28.98,2.331290311021392
224,0.040842847999986276,10.22,26.92,2.1667636744188767
225,0.04093322399998911,18.42,26.2,2.2133577156951603
