iter,time,reward,steps,convergence
1,0.001340060000003973,-778.34,300.0,89.19891
2,0.002349329000011835,-677.16,299.6,79.589523971
3,0.003332642000003716,-481.62,300.0,69.779523971
4,0.004483169000010889,-510.42,300.0,60.369523971
5,0.005474319000015271,-480.66,300.0,50.959523970999996
6,0.006443061000013017,-430.36,300.0,41.59803397099999
7,0.007427115000012918,-438.61,300.0,31.706133970999996
8,0.009072309000018208,-335.22,300.0,22.313062971
9,0.010167219000010164,-330.98,300.0,12.413062971000002
10,0.01118307299999799,-319.19,300.0,2.513266049161113
11,0.01224932300000603,-319.45,300.0,2.4143562689146676
12,0.013236593000002017,-320.51,300.0,2.1310322979146674
13,0.014289868999995292,-316.37,300.0,2.0410323196702693
14,0.015641943999995078,-312.15,300.0,1.5510323196702687
15,0.01671070599998359,-329.88,300.0,1.0616818586702679
16,0.017734570999991206,-310.89,300.0,0.5231720263164249
17,0.01873852499998918,-333.51,300.0,0.5150720274496493
18,0.01996972699998878,-328.95,300.0,0.008143028459353729
