iter,time,reward,steps,convergence
1,0.0020779920000002505,-781.06,197.38,89.59
2,0.003158328999997906,-231.48,198.08,79.718876170914
3,0.004008850999998259,-252.12,195.54,71.618876170914
4,0.004844657999999669,-233.8,193.88,63.33887617091401
5,0.005688263999999776,-198.44,189.78,53.52887617091401
6,0.006385412000000201,-155.02,165.64,44.94107617091401
7,0.007146372000001122,-43.68,78.56,36.192483059360015
8,0.007341122000003253,-80.04,103.8,27.225122639001274
9,0.008313715000003441,-95.18,125.16,18.164498260678407
10,0.008563569000003213,-75.22,101.98,8.944392514236885
11,0.008704319000003125,-48.34,80.16,9.020838307769406
12,0.008985090000003026,-1.2,40.3,9.553094964594873
13,0.009189968000004711,9.88,27.44,8.246557961300255
14,0.009323629000004274,11.36,27.38,7.094482836830231
15,0.009484608000004613,14.16,26.9,7.483264881608983
16,0.009672511000005102,15.5,28.58,6.678318079734251
17,0.009917412000007175,16.88,26.76,6.47338830541087
18,0.009992153000009552,5.28,26.16,5.943437730006094
19,0.010060459000008848,5.88,25.56,5.477006486031732
20,0.010131089000008586,5.54,26.7,5.178553013232651
21,0.010234606000008029,-329.78,73.02,4.973717854086544
22,0.010350611000006893,13.38,26.88,4.902095026347067
23,0.010418625000006898,-3.42,27.64,5.013864749428352
24,0.010506818000006746,-17.46,42.48,4.867620189770493
25,0.01064188800000565,7.96,26.42,4.690226425342514
26,0.01072513300000466,9.68,26.48,4.892556868368587
27,0.010841630000005154,7.08,28.8,4.2489018539572445
28,0.010971854000004555,0.94,33.38,4.122230992557261
29,0.011029797000002617,5.84,26.58,4.788952591238451
30,0.011091928000002582,16.04,26.08,4.663062842364324
31,0.011212641000003742,3.32,30.18,4.549070817218673
32,0.011272648000005603,5.94,26.92,4.427012839174597
33,0.0114070980000065,-1.02,27.28,4.141786102522419
34,0.011496981000007622,12.3,27.78,4.799710010556446
35,0.011607308000005645,5.42,26.64,4.750048134517014
36,0.011681716000005338,-0.14,26.32,4.932569807303747
37,0.011749715000007654,8.94,26.24,5.1385994854722
38,0.011842290000007694,9.88,25.56,5.393308648256208
39,0.011917656000008492,3.26,29.18,4.5813018524071465
40,0.012030893000009257,4.58,25.34,4.504772853542714
41,0.012156802000006905,12.32,25.8,4.5590397815976615
42,0.012251693000006725,13.48,25.62,4.376739947452717
43,0.012330657000006795,13.7,25.58,5.039703402429002
44,0.012416477000005699,14.26,25.02,5.358399903161533
45,0.012519792000006191,6.42,26.0,6.3168943313709836
46,0.012615684000003569,2.54,28.56,6.443173034252925
47,0.013598090000002117,10.74,25.42,6.128616235897086
48,0.013682137000003536,20.74,24.42,6.481342757162288
49,0.013753104000002736,18.0,25.2,6.909406352224446
50,0.013870710000002617,15.0,26.24,7.4590454392774905
51,0.01401062700000466,11.08,28.46,7.732418471806495
52,0.01410245900000362,12.22,25.1,8.607513999812847
53,0.014203175000005785,-1.82,34.82,8.408213405596058
54,0.014296814000005043,-17.94,46.18,8.148756677766299
55,0.014372345000005282,-7.5,46.44,7.5207920226205545
56,0.01445581200000845,3.06,31.7,7.898115772457619
57,0.014725831000010459,-6.96,38.84,8.449141957412374
58,0.014792167000010181,-16.64,43.5,8.264852690678579
59,0.014912206000012418,-26.92,48.92,8.605957489440593
60,0.015010639000013981,-8.04,35.86,8.386886372249418
61,0.015142185000012631,-7.44,35.14,8.042110278006934
62,0.015252014000012082,-0.34,32.26,7.822233876088316
63,0.01533376400001174,-4.98,36.56,8.278603181759001
64,0.016366815000012025,-4.48,38.2,8.347612763604783
65,0.0164799590000122,-5.62,36.58,8.741897055167197
66,0.016592134000013914,4.06,37.02,8.532426601225698
67,0.016725685000015034,17.16,27.02,8.962451468378088
68,0.01681015300001576,0.98,35.32,8.976540745533018
69,0.017581615000015205,7.44,28.0,9.128840719179525
70,0.01766063700001652,-10.1,36.38,9.664513600807087
71,0.017760791000018372,2.26,30.58,9.942569377761972
72,0.017875208000017295,9.76,30.52,10.237539222609028
73,0.017950415000015596,-8.28,36.42,10.29656354787316
74,0.018027885000012844,-6.46,34.46,9.921999348229502
75,0.01808853700001478,-1.64,33.08,9.076088404434719
76,0.01816106800001549,14.64,25.7,8.01008904471519
77,0.018231426000017592,-5.18,34.8,7.496087225359051
78,0.018301669000017284,12.24,28.98,7.61139112700649
79,0.018377675000017746,7.86,28.38,7.049184876378797
80,0.019067310000014714,0.28,37.26,6.972423166561218
