iter,time,reward,steps,convergence
1,0.0009024719999928266,-432.4,183.64,93.68821799999999
2,0.0017151519999885068,-291.94,164.64,88.37821799999999
3,0.002239999999986253,-207.78,200.0,83.06821799999999
4,0.0025626349999896547,-560.62,197.22,83.49267728363695
5,0.0034241049999934603,-271.8,197.48,80.32345135094727
6,0.00386117799999397,-462.72,200.0,73.83825060401179
7,0.004240404999990233,-167.14,137.06,64.3144024275923
8,0.004355606999993711,-291.96,199.84,59.189949656024666
9,0.0045058580000016946,-221.4,193.56,50.72339896790727
10,0.0053604699999993954,-215.14,196.64,43.888432381025446
11,0.006422094000001266,-92.0,116.16,43.72247941743018
12,0.006551500000014698,-420.8,183.22,39.799848929949825
13,0.007410392000011257,-174.04,176.46,38.599438737500016
14,0.008240811000021608,-61.5,87.54,29.81965516276445
15,0.009035534000020107,-202.34,187.26,24.264596860452784
16,0.009833886000023995,-247.18,178.74,22.025131874012693
17,0.010192020000019397,-179.52,185.72,22.6536325781535
18,0.010514094000015461,-170.94,180.08,18.45014346691114
19,0.010891973000013877,-138.54,157.38,18.03853481485698
20,0.01136831400000915,-150.52,161.44,16.123291908573414
21,0.011700643000011723,-110.9,122.28,12.616366638981694
22,0.011886646000021983,-60.88,91.06,12.49311408344479
23,0.012108036000014977,-47.56,102.1,10.037420362107927
24,0.012392964000014217,-37.28,67.72,9.124490726233278
25,0.012498263000011889,-181.12,187.98,8.208999071136969
26,0.012732863000024963,-104.44,132.86,8.660495625394393
27,0.012962164000029475,-14.3,61.34,8.843114405250322
28,0.013125443000021164,-31.66,73.26,9.59538675555837
29,0.013443549000015764,-105.5,122.42,9.739809195950548
30,0.01396366000001592,-63.88,109.74,10.323994437070368
31,0.014088013000005617,-45.96,87.78,10.533971992011855
32,0.014337534000006258,-7.62,35.06,10.861786097768567
33,0.014528826000002937,-184.2,125.12,11.641836682091173
34,0.014649879000003807,-87.38,91.52,13.758843322363322
35,0.014892023000015797,-100.6,78.74,18.08861921246057
36,0.015182126000027552,-174.44,152.22,22.823371911450977
37,0.015288951000030693,-55.74,80.14,28.46563034413117
38,0.015363808000032009,-160.72,163.96,32.96704293987612
39,0.015564140000023485,-194.16,168.34,33.01077538210516
40,0.015904494000025693,-67.84,79.24,31.91323005280998
41,0.016344377000024224,-198.2,176.88,31.483658192682686
42,0.016426529000028722,-182.2,141.54,31.55447019553597
43,0.01651214000003165,-141.66,150.98,30.637067229616054
44,0.01663498300003141,-1.84,36.54,28.70112764359761
45,0.01674528800002406,-114.4,97.88,25.18882726912647
46,0.016840657000031456,-163.04,125.16,19.558530744407946
47,0.017018301000035763,-67.78,93.92,13.461602542893221
48,0.01711083800003621,-46.92,69.96,8.277542064436513
49,0.017259065000047258,-133.16,149.88,7.94707389822873
50,0.017713155000038228,-50.26,76.72,7.757877012745406
51,0.017810849000042595,-48.18,68.12,11.615519432497596
52,0.01801186800004473,-85.62,82.8,11.440091845892322
53,0.018117002000039406,-107.7,125.82,13.16734950450965
54,0.018403057000043077,-109.9,130.66,13.202795219601011
55,0.018623525000037944,-80.86,105.06,16.549016263525576
56,0.018776318000035985,-202.62,187.96,17.53881584096962
57,0.019172680000039577,-181.46,175.5,18.53007188646198
58,0.019416146000040158,-185.46,182.52,19.445951511503843
59,0.019655910000039967,-196.94,190.02,21.277653971110958
60,0.020388662000030422,-182.4,179.9,23.839160609315236
61,0.021083739000033574,-169.3,177.74,21.3194377139967
62,0.021333151000035855,-39.98,68.96,24.89677742715838
63,0.02143977600003666,-70.4,89.72,24.418667718903514
64,0.02172425700003089,-146.66,176.0,28.126533122142263
65,0.021934766000029526,-197.58,193.1,25.243454551894146
66,0.02222493800003633,-78.1,102.68,24.91556286711332
67,0.02229181500004529,-28.7,56.24,25.820198582565286
68,0.022395739000046433,-40.14,71.6,25.302268733879423
69,0.02251287400004287,-40.06,77.12,24.745441940508915
70,0.022687689000036926,-29.38,61.64,23.56832211178026
71,0.022866724000039085,-2.7,39.68,22.426389806024208
72,0.022938994000028856,-7.4,54.32,20.292188384290046
73,0.02311671000002491,-15.84,49.7,20.49581322694567
74,0.023201545000034685,-21.3,56.12,17.68915375568928
75,0.023292520000040895,-12.1,46.14,18.62016437931024
76,0.023432570000039732,-1.34,33.74,19.71751774555255
77,0.023526189000037334,-25.26,58.64,19.658385139407425
78,0.023611323000039874,-13.12,48.94,20.226317539586255
79,0.023842941000040696,-6.38,55.6,19.103825528935356
80,0.023940695000035817,-92.58,127.0,20.330008710205433
81,0.02423442500003148,-56.92,96.62,21.59242049593612
82,0.024382325000033234,-125.92,153.96,23.884426963623433
83,0.025150821000039514,-192.54,195.94,23.231782352032457
84,0.02591275700002882,-113.68,133.54,22.786755480710386
85,0.026474466000024677,-193.84,187.42,23.609398738037463
86,0.026665850000014757,-106.28,118.14,28.39637934871617
87,0.026969271000012895,-51.68,73.16,27.661129536405888
88,0.02707464900001355,-124.0,135.18,30.58638477417504
89,0.02739642000001652,-165.56,176.92,37.22957214804303
90,0.02763276700001427,-52.48,116.52,36.77883022022297
91,0.027918779000003724,-169.3,171.72,37.75966276277243
92,0.028568195000005403,-172.42,172.32,37.97214774054926
93,0.02878726100000506,-165.76,138.2,38.60785804931697
94,0.02922069199999555,-143.38,141.2,39.380896501751536
95,0.02956918900000005,-110.44,147.58,39.28830955579921
96,0.029777315000004023,-89.44,111.22,34.80688764928529
97,0.029921678000008,-125.54,143.66,39.52005769780832
98,0.030034749000009242,-61.62,108.36,41.64822482384297
99,0.03021368100000643,-88.54,90.06,36.787443420570156
100,0.030425784000001954,-6.28,32.96,38.75522048909191
101,0.03050531300000614,-24.08,65.4,38.46731603747968
102,0.030683245000005854,-30.06,64.04,38.301496461231594
103,0.03076256600000704,-4.52,57.92,40.071859661844314
104,0.030999936000014827,-35.72,95.82,39.77768941431225
105,0.03105806400000688,0.46,28.82,41.13201869647867
106,0.03111273800000447,-58.34,96.02,38.74629432531566
107,0.031217653000013,-47.18,74.76,40.85181141739441
108,0.03133680700001662,-7.38,45.4,38.94889972394557
109,0.03144816000002493,1.22,29.66,37.98818051031155
110,0.03152820000002521,14.72,29.62,39.696064626335136
111,0.03157929700002171,15.04,27.96,37.23578036230788
112,0.03167121800001382,-11.18,73.94,37.163425502941045
113,0.03183322800001065,-84.04,134.0,34.80108894596699
114,0.03199560500000587,-61.4,120.86,35.665093665745545
115,0.03230740300000434,-51.1,113.3,33.21552101575791
116,0.032570230000004585,-52.78,98.42,35.94096086565949
117,0.032765269999998736,-23.74,104.98,29.427936691137962
118,0.03301116099999035,-58.34,114.64,27.997163179473255
119,0.03320170599999983,-162.94,170.08,28.717003123684115
120,0.033339722999997434,-167.86,178.54,24.048795485276806
121,0.033509500000008074,-69.66,101.0,27.002490145326924
122,0.0336933630000118,-64.38,110.88,25.618210912801892
123,0.03388118900001302,-200.14,164.78,28.53816441900156
124,0.034370287000015765,2.48,71.76,29.376169930629608
125,0.034487476000009565,-97.82,99.16,29.357825896956474
126,0.03467101000001094,-23.24,63.28,28.296776317459308
127,0.03478236600001594,-22.68,65.56,28.396434926625545
128,0.0349982370000248,0.7,36.32,27.780950301974542
129,0.0350712360000216,-82.6,58.58,26.23249312618997
130,0.0353110580000191,-89.14,96.84,27.40856088134829
131,0.03544386200000815,-154.8,145.52,26.715213978146824
132,0.035548458000008054,-133.56,149.78,26.147866065558986
133,0.03568702000001167,-76.6,111.48,26.177064670136794
134,0.03633259800001554,-8.72,55.54,27.277573820863985
135,0.03664326800002016,-8.86,52.08,26.005914944294823
136,0.03693963200001349,-167.4,183.72,28.696012211796187
137,0.03738221600001168,-94.08,121.74,31.042245925266275
138,0.037507965000003196,-160.92,170.6,30.428235138444062
139,0.037795305000003054,-75.62,100.52,31.315807675393405
140,0.03792947500001276,-14.96,54.06,30.61471320799165
141,0.0380220700000109,-182.34,97.0,33.55490172077792
142,0.03816429600001925,8.24,25.78,36.011864972076964
143,0.03824278100002232,10.88,26.26,32.56434248667428
144,0.038336317000016606,-8.2,43.2,29.16216054575124
145,0.03841568000001416,7.28,27.36,28.867982581569237
146,0.038514399000021626,5.6,34.54,26.578770390344054
147,0.038669157000015275,7.22,31.78,23.480293238223606
148,0.03878702300002601,-53.56,45.06,30.013005792831784
149,0.038933181000018635,-5.58,43.04,33.27495940469212
150,0.039091916000018045,3.18,41.88,32.70597036049046
151,0.039154742000008014,-13.36,55.12,28.97449854039964
152,0.039254626000001736,-22.3,58.32,28.582391645318733
153,0.039350460000008525,-18.66,58.62,32.19627116602429
