iter,time,reward,steps,shape
2,0.018818741,98.49,3.51,2
2,0.06436743700000003,96.04,5.96,3
3,0.038553654999999964,93.06,8.94,4
3,0.045041286000000014,90.04,11.96,5
3,0.12307470399999998,85.48,16.52,7
4,0.488902677,76.69,25.31,10
6,0.70861792,63.85,38.15,15
7,1.7010140280000012,49.42,52.58,20
8,3.1707672710000026,36.61,65.39,25
8,4.747254838,22.68,79.32,30
10,7.376423948999999,9.18,92.82,35
11,11.364596202999998,-2.63,104.63,40
13,22.284524425,-30.41,132.41,50
