iter,time,reward,steps,convergence
1,0.0010018409999474898,-402.69,300.0,93.69
2,0.0018903449999925215,-403.77,300.0,85.66209
3,0.00287620100004915,-459.35,300.0,77.7312099
4,0.003734382000061487,-354.44,300.0,70.85769733800001
5,0.004618881000055808,-390.6,300.0,61.58674553089698
6,0.00553254300007211,-435.33,300.0,53.55883553089698
7,0.00600837100012086,-714.12,300.0,48.248835530896976
8,0.0068882100000564606,-543.27,300.0,39.07044269440881
9,0.007784334999996645,-299.54,300.0,29.635231652636037
10,0.008653149999986454,-402.86,300.0,28.108579652636045
11,0.009735381999917081,-674.65,300.0,25.30933626854909
12,0.010591691999934483,-345.28,300.0,27.371223598120423
13,0.011535563999927945,-302.15,300.0,27.09861769093569
14,0.012421970999980658,-326.03,300.0,24.544020533606943
15,0.01327562900007706,-351.47,300.0,25.244921084270015
16,0.014434155000117244,-317.27,300.0,24.472250892417524
17,0.015272955000114052,-309.95,300.0,24.551549892417523
18,0.016253302000222902,-317.09,300.0,26.070037665238694
19,0.017221581000171682,-356.06,300.0,30.195248707011466
20,0.018165588000215394,-335.0,300.0,26.30830946004006
21,0.01907362500014642,-344.72,300.0,33.23267315884128
22,0.019875446000241936,-301.07,300.0,29.886031486407365
23,0.020675053000218213,-314.79,300.0,32.687909292592096
24,0.021473576000175854,-326.63,300.0,36.81638831900132
25,0.02229666900018401,-371.31,300.0,36.82847920506522
26,0.02310256000021127,-337.7,300.0,37.50773431192672
27,0.02391416700015725,-653.04,300.0,33.155440163829454
28,0.02474551400018754,-1656.63,299.4,35.6009080692897
29,0.025870720000170877,-343.89,300.0,36.531510054241515
30,0.02709558000015022,-327.25,300.0,37.156396889718856
31,0.028142877000163935,-371.97,300.0,36.79842457500458
32,0.029014310000206933,-314.02,300.0,36.678647899029684
33,0.029946326000185763,-359.74,300.0,33.94489316170123
34,0.03083247300014591,-678.32,300.0,30.014977378071507
35,0.03181930900018415,-426.61,300.0,30.110835859697296
36,0.03266113900019718,-335.8,300.0,34.8045402876097
37,0.03348768400019253,-309.8,300.0,35.45419291881324
38,0.03461048000019673,-316.37,300.0,31.127852020944953
39,0.03554151000014372,-302.96,300.0,27.938876405450753
40,0.03676953900014723,-299.0,300.0,23.18223182248115
41,0.03837959400016189,-324.22,300.0,15.136895106717244
42,0.039134158000138086,-457.35,300.0,20.07818476276028
43,0.0399999100001196,-584.34,300.0,19.417127834616636
44,0.04140474000018912,-959.19,300.0,23.85691722463232
45,0.04232689600019057,-371.67,300.0,27.19781779826828
46,0.043317588000149954,-553.97,300.0,21.00452116482448
47,0.04412969900010921,-312.09,300.0,20.927874005758884
48,0.04495739600008619,-300.89,300.0,20.78457948182415
49,0.04576046000011047,-500.89,300.0,21.93113458489018
50,0.046610598000143,-1019.27,300.0,26.906984769353834
51,0.047869762000232186,-480.98,300.0,36.00069048947897
52,0.04869716800021706,-348.22,300.0,30.845307645233667
53,0.049690679000264026,-427.95,300.0,34.76673149162769
54,0.050961796000251525,-684.07,300.0,38.10786695458741
55,0.05195134400025836,-436.6,300.0,41.35908542157809
56,0.052860059000181536,-472.21,300.0,43.04030171210046
57,0.053752771000176836,-445.13,300.0,47.696265851130995
58,0.05473213800019039,-1033.72,300.0,53.01437046118391
59,0.05556466000018645,-358.15,300.0,51.60456824700706
60,0.0564466280002307,-357.13,300.0,47.700443728599076
61,0.057520578000207934,-449.11,300.0,39.87474230846797
62,0.058409878000134086,-494.85,300.0,47.17454422708779
63,0.05929720500012081,-315.11,300.0,42.34725068868882
64,0.06016843300017172,-429.21,300.0,34.1102078681944
65,0.06125230000020565,-344.95,300.0,28.44118228042735
66,0.06216406600015034,-345.21,300.0,26.649374557574085
67,0.06301703200017528,-332.9,300.0,23.797231094664138
68,0.06407021600011831,-328.98,300.0,18.848996596153906
69,0.06516220200012413,-328.07,300.0,17.4269495835152
70,0.06623863000004349,-338.86,300.0,17.09886274378657
71,0.06744945100001587,-416.95,300.0,21.02966303986813
72,0.06844904199999746,-338.68,300.0,15.747948286170821
73,0.06935196999995696,-383.44,300.0,19.906790582492107
74,0.07020977499996661,-345.95,300.0,22.04131575573833
75,0.07092586199996731,-314.57,300.0,21.877088023463948
76,0.0714273769999636,-326.34,300.0,23.533597190715348
77,0.07239213199989081,-691.3,300.0,26.172432618353135
78,0.07346187299992835,-321.3,300.0,27.27322672859974
79,0.07434403999991446,-345.87,300.0,27.080318357257397
80,0.07541288899994925,-299.76,300.0,31.39718299402411
81,0.07676145599998563,-555.73,300.0,33.4544033693854
82,0.07760515199993279,-326.46,300.0,34.588122235294875
83,0.07844488000000638,-350.46,300.0,34.780259497450636
84,0.07952408500000274,-359.96,299.34,33.885459985853956
85,0.08039751000001161,-592.97,298.16,34.91233131050916
86,0.08124974800000473,-345.86,299.64,35.88158748135338
87,0.08211857499998132,-299.67,300.0,32.993311353050345
88,0.08298738300004516,-307.63,298.8,43.27354846817887
89,0.0838155240001015,-451.27,299.28,50.69786836150369
90,0.08466571000019485,-1542.05,283.1,49.282610638796704
91,0.08569583000019065,-300.71,300.0,46.18195640701373
92,0.0865135240002246,-299.18,300.0,42.93110629549251
93,0.08730901500030086,-355.25,299.82,40.41250016446456
94,0.08810769600029289,-355.88,300.0,43.25373495177508
95,0.08894858700034547,-455.01,293.13,51.60043700109868
96,0.08993918500038944,-313.03,300.0,50.050732659050944
97,0.09108206400037488,-378.69,300.0,49.567720879962884
98,0.09188885000037317,-301.16,300.0,37.86387653842824
99,0.09280965700031629,-331.3,297.64,30.135732785985244
100,0.09372570800030644,-455.73,296.93,26.64038941353374
101,0.09472736300028828,-341.44,294.57,24.1924413376034
102,0.09561109200035389,-299.0,300.0,26.73113889780427
103,0.09647016500025529,-317.49,300.0,30.015779738663042
104,0.09734693100017466,-600.92,300.0,37.53642819200888
105,0.09844218900013857,-338.97,300.0,29.26711094511729
106,0.09927202600010787,-299.0,300.0,31.702824756352037
107,0.10019084900011421,-557.17,293.01,35.076712840561314
108,0.10068170200008808,-335.8,300.0,35.588009979047676
109,0.10206815600008667,-611.54,300.0,35.86719304048906
110,0.10287616400012212,-574.07,298.62,35.49066583792513
111,0.10352335400011725,-306.18,300.0,35.80098747249393
112,0.104356932000087,-314.24,300.0,33.2302291247125
113,0.10515834400007407,-697.92,299.94,30.973505481350116
114,0.10602796300008777,-531.4,300.0,23.24263972574684
115,0.10692315600010716,-562.65,300.0,23.05910024147785
116,0.10775972500005082,-361.95,300.0,21.092230659163302
117,0.1087438499999962,-327.52,300.0,20.439412350408027
118,0.10961026900008619,-427.44,300.0,19.778375583540427
119,0.11045996300015304,-338.85,300.0,22.367368000754706
120,0.11128244200017434,-629.09,299.57,24.291032981322342
121,0.11223487100016882,-365.6,300.0,25.967140319073003
122,0.11310638700024356,-705.53,298.23,28.836200349948246
123,0.11392872700025691,-599.33,299.48,29.49742465657649
124,0.11482482000019445,-354.79,300.0,28.753746261742066
125,0.1160877250001704,-465.98,300.0,30.149832307074348
126,0.11698379600011322,-373.32,298.74,30.740332073549155
127,0.1178054910001265,-641.65,300.0,29.068852326889367
128,0.11863244300013776,-589.69,300.0,31.3952417768366
129,0.11943180800017217,-418.62,300.0,31.592101004436973
130,0.12030954500016833,-395.7,300.0,31.4036029253023
131,0.12121833100013646,-299.09,300.0,35.71032640117999
132,0.12204849300007936,-307.82,300.0,33.87432049082206
133,0.12294988900009685,-299.09,300.0,33.16927202745453
134,0.12376792800012026,-322.39,300.0,31.865313609382277
135,0.1246120770001653,-321.69,300.0,29.71146761721648
136,0.12549042100010865,-313.67,299.9,29.780109894135716
137,0.1262884230001191,-758.17,300.0,36.319116004418994
138,0.12713312300013513,-426.14,300.0,38.95568629830887
139,0.12800642200022594,-307.34,300.0,38.18549197274917
140,0.1288812920001874,-337.03,299.31,39.73290206373972
141,0.1297465650002323,-312.17,300.0,31.67857281622173
142,0.13061939800024902,-452.5,298.46,30.625628267119914
143,0.13142587000027106,-345.82,300.0,30.27274853829001
144,0.13228256800027793,-353.26,300.0,36.697620951131036
145,0.13316933500027517,-336.91,300.0,34.40369923925719
146,0.13395763600021837,-486.7,265.42,37.2819845413447
147,0.1348651090002022,-363.03,300.0,27.84149158053619
148,0.13571037600024738,-314.51,297.58,24.780523822363357
149,0.1365709780002362,-299.0,300.0,25.068934111308238
150,0.1374722410001823,-514.98,287.33,29.122146550423974
151,0.13796640100019886,-303.95,300.0,30.518120254773653
152,0.1390378490001467,-375.09,298.25,33.64660557025838
153,0.13997507700014467,-299.09,300.0,31.25041919063961
154,0.14085478600009083,-304.5,299.66,24.40330747211436
155,0.14158432800002174,-300.14,297.64,26.17157209286902
156,0.14242532399998709,-327.17,300.0,20.98831260938855
157,0.143384296000022,-307.6,296.9,20.937833351060334
158,0.144203601000072,-307.17,297.9,20.410742013275456
159,0.1451442620001444,-421.79,199.28,19.820542955816926
160,0.14596917300013956,-329.51,300.0,16.614637350699972
161,0.14649176900013572,-459.38,263.82,15.012827094468747
162,0.14734128600002805,-364.42,290.64,11.861211372979138
